;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
35;160020405000003;3.91;1801.21;895.14;1519.71;221;214;5;25;22;22;36;50;41;2916115;861;845;12;71;861;435;426;603325;599125;4200;106;23;59;5;7
36;160020405000004;5.01;587.84;300.79;662.92;286;280;0;5;11;11;31;44;51;47362113;1417;1402;0;15;1417;773;644;289053;286833;2220;188;12;18;1;1
37;160020405000005;2.95;366.32;244.03;420.28;56;56;0;0;20;20;12;10;5;2122;165;165;0;0;165;106;59;29760;29760;0;44;0;1;0;0
38;160020405000006;3.35;467.94;277.33;564.1;117;117;0;0;32;32;27;16;12;8674;392;392;0;0;392;231;161;82923;82923;0;88;1;7;0;0
39;160020405000007;4.83;566.0;294.29;716.53;229;226;0;10;17;17;26;40;34;3723149;1102;1091;0;56;1102;576;526;229124;224299;4825;142;11;20;0;1
40;160020410000001;2.93;301.93;399.19;1136.15;15;15;0;0;4;4;3;3;1;3100;44;44;0;0;44;27;17;14770;14770;0;4;0;1;0;0
41;160020410000002;4.41;598.2;284.85;603.08;167;167;0;4;16;16;21;35;25;261868;736;736;0;14;736;389;347;164641;164641;0;120;6;13;0;0
42;160020410000003;2.38;476.25;324.12;459.17;8;8;0;0;3;3;3;1;0;0010;19;19;0;0;19;14;5;5510;5510;0;8;0;0;0;0
43;160020410000004;3.81;312.0;191.61;447.09;37;37;0;0;9;9;4;8;4;2243;141;141;0;0;141;86;55;20119;20119;0;23;1;0;0;0
44;160020415000001;3.45;520.88;317.6;757.35;182;173;1;38;31;31;40;44;31;11843;628;599;4;114;628;317;311;147283;147283;0;104;8;12;0;0
45;160020415000002;2.57;641.3;419.03;605.89;53;53;0;0;24;24;7;9;6;2113;136;136;0;0;136;89;47;44836;44836;0;36;2;5;0;0
46;160020415000003;1.93;81.37;63.02;538.55;54;54;0;0;29;29;15;3;3;2101;104;104;0;0;104;76;28;5924;5924;0;7;1;0;0;0
47;160020415000005;3.26;576.75;378.51;665.45;307;292;1;49;77;77;49;62;38;3721116;998;970;1;96;998;551;447;287796;287796;0;207;20;14;0;0
48;160021205000001;4.34;1164.2;673.79;950.22;83;82;0;8;8;8;14;13;17;10832;358;356;0;16;358;197;161;185092;184292;800;59;7;10;1;2
49;160021205000002;4.41;758.93;369.03;742.38;316;302;5;33;39;39;30;51;68;37272414;1386;1361;10;101;1386;663;723;373314;373314;0;214;28;35;2;0
50;160021205000003;4.61;555.86;306.57;591.56;164;163;0;3;25;25;13;27;25;1915157;758;752;0;13;758;394;364;168002;167497;505;135;8;10;0;0
51;160021205000004;5.01;426.44;219.21;520.88;230;226;0;3;17;17;20;29;34;38341815;1140;1133;0;12;1140;623;517;169895;166861;3034;158;6;9;0;0
52;160021205000005;4.34;727.13;341.16;617.1;82;82;0;0;8;8;11;14;17;12961;356;356;0;0;356;193;163;83926;83926;0;69;1;7;1;0
53;160021205000006;4.2;961.45;458.55;738.25;166;157;4;20;20;20;23;37;25;2112107;698;680;6;68;698;354;344;251043;251043;0;123;12;18;1;2
54;160023805000001;4.2;1843.86;802.09;1376.86;227;218;5;19;23;23;40;37;37;36151310;945;930;9;60;945;484;461;596558;593378;3180;128;29;43;6;5
55;160023805000002;4.72;1337.45;564.27;1394.93;323;309;7;35;26;26;35;56;59;45232417;1507;1475;17;118;1507;763;744;639913;637263;2650;138;22;40;5;4
56;160023805000003;4.39;869.83;438.91;829.83;186;183;0;13;14;14;24;32;40;2323124;808;803;0;47;808;415;393;256067;252317;3750;128;14;12;2;3
57;160023805000004;4.36;624.21;345.91;1490.8;96;0;0;0;0;0;0;0;0;0;419;0;0;0;419;221;198;0;0;0;0;0;0;0;0
58;160023805000005;3.64;650.84;543.4;1130.68;122;121;0;0;27;27;27;15;19;10634;443;440;0;0;443;255;188;181529;118729;62800;93;2;11;0;1
59;160023805000006;4.39;499.15;246.04;587.37;181;162;0;0;21;21;31;19;25;16171311;758;715;0;0;758;448;310;135631;135631;0;128;1;6;0;0
