;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
35;270020105000013;4.25;429.97;193.47;426.06;119;119;0;1;8;8;22;24;20;161164;506;506;0;2;506;263;243;75839;75839;0;97;1;0;0;0
36;270020105000014;3.55;411.0;221.7;419.52;268;268;0;1;33;33;51;65;40;412187;952;952;0;5;952;473;479;175361;175361;0;226;4;4;0;0
37;270020105000015;3.16;420.52;275.32;456.71;141;141;0;27;23;23;33;32;24;141131;446;446;0;91;446;215;231;97737;97737;0;107;0;2;0;1
38;270020105000016;3.47;415.13;240.91;489.31;135;135;0;0;13;13;30;31;30;17660;469;469;0;0;469;243;226;94437;94437;0;101;3;2;0;0
39;270020105000017;3.57;505.63;265.32;450.2;128;128;0;3;15;15;24;23;26;271010;457;457;0;13;457;233;224;99195;99195;0;111;5;2;1;0
40;270020105000018;5.31;331.02;166.16;372.92;322;322;0;33;17;17;35;57;50;42293221;1711;1711;0;152;1711;852;859;216668;216668;0;256;1;0;0;0
41;270020105000019;3.3;425.93;271.45;536.34;260;260;0;35;22;22;58;81;52;29855;857;857;0;103;857;425;432;199518;199518;0;195;5;3;0;0
42;270020105000020;3.69;324.18;246.37;465.37;163;163;0;12;17;17;26;36;41;21982;601;601;0;37;601;324;277;117274;117274;0;119;1;1;0;0
43;270030005000001;2.95;1309.45;756.33;1151.91;173;109;57;79;35;35;46;28;35;15810;514;341;152;229;514;237;277;348162;339782;8380;118;15;33;0;2
44;270030005000002;2.96;1740.27;1149.26;1609.73;160;117;40;48;29;29;37;40;30;10803;469;369;96;123;469;201;268;471471;471471;0;76;17;49;6;2
45;270030005000003;2.83;1595.62;1035.04;1405.81;287;205;71;106;64;64;64;68;45;29721;811;650;137;253;811;355;456;738982;724752;14230;161;31;71;7;6
