;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
35;120010405000010;4.89;290.17;126.81;319.91;94;92;0;0;3;3;7;16;12;51;455;450;0;0;455;267;188;42128;41168;960;85;1;1;0;0
36;120010405000011;5.9;379.76;153.58;410.05;128;128;0;0;4;4;7;18;17;59;755;755;0;0;755;430;325;83241;83241;0;96;0;7;0;0
37;120010405000012;3.59;590.74;286.04;575.3;125;125;0;0;13;13;32;17;27;35;449;449;0;0;449;270;179;102303;102303;0;83;5;9;1;0
38;120010405000013;4.03;650.36;304.68;602.53;225;224;0;0;17;17;29;55;47;70;906;902;0;0;906;500;406;215103;213603;1500;186;5;8;0;2
39;120010405000014;3.44;455.11;268.39;469.68;89;89;0;0;9;9;17;27;16;18;306;306;0;0;306;178;128;65755;65755;0;72;4;1;0;0
40;120010405000015;3.7;668.63;327.02;594.78;296;293;0;0;23;23;51;72;62;81;1093;1084;0;0;1093;589;504;285492;282415;3077;246;8;18;2;1
41;120010405000016;4.02;543.24;263.94;477.95;42;42;0;0;2;2;6;12;10;10;169;169;0;0;169;96;73;35368;35368;0;35;1;3;0;0
42;120010405000017;3.57;403.53;228.57;518.22;164;164;0;1;20;20;23;42;30;49;586;586;0;4;586;331;255;111644;111644;0;111;6;1;0;0
43;120010405000018;4.93;230.25;129.29;357.21;76;76;0;0;3;3;14;14;9;29;375;375;0;0;375;204;171;34649;34649;0;50;0;0;0;0
44;120010405000019;3.49;492.28;256.25;514.49;95;95;0;0;10;10;24;20;18;21;332;332;0;0;332;174;158;66369;66369;0;76;2;3;0;0
45;120010405000020;4.85;210.74;70.19;486.67;27;27;0;0;1;1;2;5;9;7;131;131;0;0;131;66;65;7300;7300;0;11;0;1;0;0
46;120010405000021;3.37;783.69;501.96;695.5;360;324;26;63;56;56;62;81;73;81;1214;1139;49;174;1214;609;605;501205;496725;4480;270;32;37;0;1
47;120010405000022;3.65;644.37;396.77;629.07;375;374;0;53;27;27;66;88;92;99;1365;1364;0;178;1365;677;688;415812;415762;50;274;16;28;1;0
48;120010405000023;3.36;891.53;562.08;819.09;465;435;19;67;64;64;87;110;93;104;1559;1479;54;213;1559;802;757;689174;679054;10120;337;36;54;0;3
49;120010405000024;3.86;431.94;262.55;458.64;186;186;0;14;17;17;33;35;37;60;718;718;0;50;718;361;357;146764;146764;0;160;3;4;0;0
