;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
3029;510590307000010;3.13;1618.75;767.89;1389.52;16;16;0;0;3;3;2;3;6;2000;50;50;0;0;50;30;20;29180;29180;0;4;6;6;0;0
3030;510600005000001;3.04;945.78;704.61;1092.29;144;143;0;17;20;20;38;27;43;10330;438;436;0;57;438;213;225;271981;271981;0;75;21;23;1;0
3031;510600005000002;2.74;927.7;595.45;943.36;61;61;0;10;14;14;16;13;10;6200;167;167;0;20;167;82;85;83959;83959;0;39;8;7;0;0
3032;510600005000003;2.78;939.25;635.94;1017.51;39;36;0;4;9;9;6;8;10;3000;103;100;0;11;103;53;50;52243;52243;0;17;5;7;0;0
3033;510600005000004;3.25;1032.42;655.18;970.63;59;57;2;7;9;9;10;16;11;10111;192;190;2;16;192;93;99;104828;104828;0;36;8;9;1;0
3034;510600005000005;3.5;765.0;291.43;680.0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;7;4;3;0;0;0;0;0;0;0;0
3035;510600005000006;3.42;790.95;486.87;741.68;169;169;0;22;18;18;38;37;37;201332;578;578;0;64;578;275;303;238079;238079;0;118;19;15;0;0
3036;510600005000007;3.41;641.16;392.25;586.78;190;190;0;13;18;18;43;41;41;311320;647;647;0;42;647;315;332;217697;217697;0;168;7;4;1;0
3037;510600005000008;3.12;581.91;488.94;663.56;66;0;0;0;0;0;0;0;0;0;206;0;0;0;206;121;85;0;0;0;0;0;0;0;0
3038;510600005000010;3.37;539.23;440.92;768.05;133;129;0;11;20;20;23;33;21;18750;439;435;0;32;439;235;204;164627;164627;0;75;7;9;0;0
3039;510600005000011;3.42;772.84;547.62;1000.83;19;19;0;0;1;1;8;1;5;0310;65;65;0;0;65;33;32;29024;29024;0;8;3;2;0;0
3040;510600005000013;7.0;480.0;109.29;382.5;2;0;0;0;0;0;0;0;0;0;14;0;0;0;14;7;7;0;0;0;0;0;0;0;0
3041;510600005000014;3.27;1184.17;686.19;965.42;117;116;0;19;17;17;19;36;21;15233;382;379;0;58;382;195;187;223011;220501;2510;66;24;24;1;0
3042;510600005000015;2.8;434.54;553.43;678.4;36;35;0;6;8;8;9;9;4;4000;102;98;0;18;102;46;56;40031;40031;0;22;2;1;0;0
3043;510600005000016;3.29;600.42;299.18;567.41;62;62;0;3;9;9;10;22;8;7311;204;204;0;9;204;110;94;49365;49365;0;46;5;2;0;0
3044;510600005000018;2.87;315.32;307.03;522.49;38;38;0;2;8;8;10;5;10;4100;109;109;0;7;109;58;51;29782;29782;0;26;0;0;0;0
3045;510600005000019;3.26;672.63;415.39;704.01;95;95;0;5;13;13;20;22;20;11720;310;310;0;10;310;160;150;108418;108418;0;74;7;5;0;0
3046;510600005000020;3.06;833.87;541.65;788.36;172;167;0;22;28;28;37;45;29;19422;516;511;0;62;516;254;262;229690;229690;0;109;13;14;5;0
3047;510600005000021;2.8;382.5;347.35;531.88;20;20;0;3;5;5;5;5;2;1110;56;56;0;7;56;27;29;17020;17020;0;13;0;0;0;0
3048;510600005000023;4.0;510.0;255.0;510.0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0
3049;510600005000024;5.0;510.0;204.0;510.0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;5;4;1;0;0;0;0;0;0;0;0
3050;510600005000025;3.18;400.31;335.32;516.72;39;39;0;2;7;7;8;11;3;7200;124;124;0;5;124;67;57;31520;31520;0;30;0;0;0;0
3051;510600005000026;3.02;696.59;421.16;617.71;44;44;0;7;12;12;8;6;8;7120;133;133;0;15;133;67;66;46328;46328;0;38;1;2;0;0
3052;510600005000027;3.15;692.47;580.14;875.81;154;146;0;18;23;23;29;40;33;8822;468;460;0;49;468;227;241;226835;226835;0;91;6;15;1;0
3053;510600005000028;3.19;588.89;312.72;553.0;164;161;0;0;34;34;34;26;31;23721;520;514;0;0;520;295;225;142926;141296;1630;136;9;5;0;0
3054;510600005000029;3.12;654.18;525.26;905.63;98;98;0;0;11;11;26;23;25;9112;306;306;0;0;306;165;141;131316;131316;0;58;8;1;0;1
3055;510600005000030;3.35;605.63;321.26;585.98;79;79;0;0;12;12;22;18;10;5521;265;265;0;0;265;159;106;73247;73247;0;65;5;1;0;0
